zinc_id,smiles
ZINC000150352068,CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
ZINC000002031811,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCC[C@@]2(C)CO
ZINC000000002149,CN(C)CCN(Cc1ccsc1)c1ccccn1
ZINC000002039298,CCCCCC[C@@H]1OC[C@H](CO)O1
ZINC000004626628,CN(C)C[C@H]1COC2(O1)c1ccccc1CCc1ccccc12
ZINC000150353484,O=C1NCCc2cc(Br)c(O)c(c2)Oc2ccc(cc2Br)[C@H](O)CNC(=O)/C(=N/O)Cc2cc(Br)c(O)c(c2)Oc2ccc(cc2Br)C/C1=N\O
ZINC000038653053,CCOCC(=O)O[C@H]1C[C@H](C)CC[C@@H]1C(C)C
ZINC000003830865,C[C@@H](CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21)N(C)C
ZINC000000301708,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N)cc21
ZINC000016343197,CC(C)CC(=O)SCC[C@H](S)CCCCC(N)=O
ZINC000029057047,N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2
ZINC000013540015,COc1cc2c(cc1O)[C@H]1CC[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]1CC2
ZINC000004213943,C=C(Br)C[C@]1(C(C)C)C(=O)NC(=O)N(C)C1=O
ZINC000004214473,CCS[C@]1(SC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
ZINC000005650539,CCOC(=O)C1(c2ccccc2)CCN(C[C@@H](O)c2ccccc2)CC1
ZINC000003653675,COP(=O)(OC)C(=O)OC(C)C
ZINC000040431084,c1ccc2c3c([nH]c2c1)[C@@H](Cc1c[nH]cn1)NCC3
ZINC000040471831,C[C@@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)O
ZINC000005500894,N[C@H](CCC(=O)O)C(=O)NCC(=O)O
ZINC000002008020,c1ccc2c(c1)cc1c3c2ccc2cccc(c23)[C@@H]2O[C@@H]12
ZINC000004213122,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCS(=O)(=O)O)cc1
ZINC000000001973,CC(C)=CCOC(=O)c1ccccc1Nc1cccc(C(F)(F)F)c1
ZINC000000002117,CCc1ncc([N+](=O)[O-])n1CCNC(=S)OC
ZINC000096014547,CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
ZINC000003803665,CC1(C)CSSC[C@@H](C(=O)O)NC1=O
ZINC000040390782,C[C@@H]1OC(=O)C(C=O)=C2C=COC=C21
ZINC000011726209,CC[C@H](C)Cn1c(=O)n(C)c(=O)c2[nH]c(C)nc21
ZINC000056874660,COC1=CC(=O)C(C)=C(C/C=C(\C)CCC=C(C)C)C1=O
ZINC000033976414,NC(=O)C[C@H](N)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O
ZINC000150338875,Oc1ccc([C@@H]2Oc3cc(O)cc4c3[C@@H]2c2cc(O)cc3c2[C@@H](c2cc(O)cc5c2[C@H]4[C@H](c2ccc(O)cc2)O5)[C@H](c2ccc(O)cc2)O3)cc1
ZINC000002003691,C[C@](O)(C(=O)O)P(=O)(O)[C@@](C)(O)C(=O)O
ZINC000014767594,Cc1cc2c(c(C)c1O)CC[C@](C)(CCC[C@H](C)CCC[C@@H](C)CCCC(C)C)O2
ZINC000169301783,CC1(C)[C@H]2C[C@@H](O)[C@@](C)(O)C[C@@H]21
ZINC000013883250,C[C@H]1CC(=O)NN=C1c1ccc(NCC(C)(C)NC[C@@H](O)COc2cc(Cl)ccc2C#N)cc1
ZINC000084618447,CC1=CC(=O)c2c(ccc(-c3ccc4c(c3O)C(=O)C=C(C)C4=O)c2O)C1=O
ZINC000002019959,CN1C(=O)c2ccccc2[C@H]1Nc1ccc(OCCN2CCCCC2)cc1
ZINC000013378442,O[C@H](C#Cc1ccc(-c2cccs2)s1)CCl
ZINC000169297334,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(/C)[C@H](OC(N)=O)[C@@H](OC)/C=C/C=C(\C)C(=O)NC(=CC1=O)C2=O
ZINC000008220068,Nc1nc(O)c(/N=C/O)c(N[C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)n1
ZINC000006483503,COc1cc(O)c2c(=O)c(OC)c(-c3cc(O)c(OC)cc3O)oc2c1
ZINC000034290145,N[C@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1C(=O)O
ZINC000004213937,CC(=O)Oc1cc(O[C@H](C)CCCc2ccccc2)cc2c1[C@@H]1C[C@H](O)CC[C@H]1[C@H](C)N2
ZINC000000001794,O=C(O)c1ccccc1C(=O)N1CCSC1
ZINC000100367373,N/C(=N\O)C1=NNc2ccccc2N(Cc2ccccc2)C1=O
ZINC000095617682,C[C@H](N)C(=O)NC(=O)CC[C@@H](N)C(=O)O
ZINC000003872958,O=C(NNCS(=O)(=O)O)c1ccncc1
ZINC000001894643,Cc1ccc(Cn2nc(C(=O)N[C@H]3C(C)(C)[C@@H]4CC[C@@]3(C)C4)cc2-c2ccc(Cl)c(C)c2)cc1
ZINC000000004014,c1ccc2c(c1)cc(-c1nnn[nH]1)c1nnnn12
ZINC000014616831,CC#CC#CC#CC(=O)O
ZINC000003870809,NC1=N[C@@H]2[C@@H](CS[C@H]2CCCCC(=O)O)N1
ZINC000013209481,C[C@H](O)Cn1c(=O)c2c(ncn2C)n(C)c1=O
ZINC000027646101,O=C(N[C@H](Cc1ccc(O)cc1)C(=O)O)[C@@H]1CCCN1
ZINC000013376481,COc1c(O)ccc2cc3[n+](cc12)CCc1cc2c(cc1-3)OCO2
ZINC000100779845,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1OC(=O)CCC(=O)O
ZINC000005551645,CC(C)=CCN1Cc2c(Cl)ccc3[nH]c(=S)n(c23)C[C@@H]1C
ZINC000001587666,CC[C@H](O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
ZINC000100029127,O=[N+]([O-])c1cccc2c1C=C[C@H]1O[C@H]21
ZINC000025970069,C[C@@H](O)[C@H]1CC[C@H](CO)O1
ZINC000015119475,CC1(C)C=Cc2cc(CO)ccc2O1
ZINC000004654886,NCCc1ccc(O)c(OS(=O)(=O)O)c1
ZINC000040479093,NC(=O)CC[C@@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)O
ZINC000001694564,OCC[C@@H](O)[C@H](O)CO
ZINC000015119725,CC1(C)CCSS1
ZINC000059261651,C[C@@](O)(C#N)C1CC1
ZINC000004655407,CCCCC/C=C\C/C=C\C[C@@H]1O[C@@H]1C/C=C\CCCC(=O)O
ZINC000059587341,C=C(C)[C@@H]1CC[C@@]2(C)CCC=C(C)[C@@H]2C1
ZINC000008214666,CN(C)c1nc(NP(=O)(N2CC2)N2CC2)c2c(ncn2C)n1
ZINC000013327880,O=c1cc(CO)oc2cc(O)cc(O)c12
ZINC000000002092,CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O
ZINC000012493539,C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
ZINC000002019922,CCCNC(=O)N1C[C@H](c2ccccc2)OC1=O
ZINC000039029985,O=C(CCCS)NC1CCN(Cc2ccccc2)CC1
ZINC000014511896,C[C@]1(O)CCC[C@@]2(C)CCC(=O)C=C12
ZINC000100367555,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@](C)(CO)c1ccccc1)C2
ZINC000002019366,CC(C)CNC(C)(C)COC(=O)c1ccccc1
ZINC000013545168,N[C@@H](CC(=O)N[C@@H](CO)C(=O)O)C(=O)O
ZINC000031297632,Cn1c(C(=O)O)c(I)c(=O)c(I)c1C(=O)O
ZINC000015219306,COc1cc(/C=C/C(=O)O[C@H](C(=O)O)[C@](O)(Cc2ccc(O)c(O)c2)C(=O)O)ccc1O
ZINC000006777923,CCCC(=O)SC[C@@H](N)C(=O)O
ZINC000000000319,C[C@H](C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1
ZINC000060261385,NCCCC[C@@H](NC(=O)CCCN)C(=O)O
ZINC000008577156,N=C(N)NCCC[C@@H](NC(=O)CN)C(=O)O
ZINC000001529423,CCCCCCCCCC(=O)CC(=O)O
ZINC000042833771,C[C@@H]1SCCN1P(=O)(N1CC1)N1CC1
ZINC000004102148,O=CC1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(CO)=CC[C@H]12
ZINC000038483262,COc1cc([C@@H]2c3cc(O)c(OC)cc3C[C@@H](C)[C@H]2C)ccc1O
ZINC000013438043,CC(=O)NC[C@H](O)CC[C@H](N)C(=O)O
ZINC000100033718,C=C(NC)C(=O)O
ZINC000100465241,O=C(O)C(=O)[C@H](O)[C@H](O)[C@H](O)CO
ZINC000030691329,C=C[C@](O)(C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)OC)CCCC
ZINC000085947795,CC(C)C1=CC[C@H](C)C1=O
ZINC000095620868,O=S(=O)(O)Oc1ccc(CCO)cc1
ZINC000100781152,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@H]1CC/C(C)=C\C(=O)O
ZINC000075518672,CC(=O)CCCC=O
ZINC000015217311,O=Cc1cc(Cc2ccc(O)cc2)ccc1O
ZINC000012496492,O=C(O)CC/C=C\CCC(=O)O
ZINC000056875130,CC1=C(Cl)/C(=C/C(=O)O)OC1=O
ZINC000015156602,COc1cc([C@@H]2O[C@@H]2CO)ccc1O
ZINC000169292355,C#CCN1CCC2=C(C1)c1c(OC(=O)[C@H](C)CCN3CCCC[C@@H]3C)cc([C@@H](C)[C@@H](C)CCCCC)cc1OC2(C)C
ZINC000034040037,N=C(N)NCCC[C@H](N)C(=O)N[C@@H](CS)C(=O)O
ZINC000000968077,COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
ZINC000002036732,O=C(O)CCC(=O)c1ccc2c(c1)-c1cccc3cccc-2c13
ZINC000003922942,O=C(c1c(O)cc(O)cc1O)c1c(-c2ccc(O)cc2)oc2cc(O)c3c(c12)O[C@H](c1ccc(O)cc1)[C@@H](O)C3
ZINC000033838365,CCC/C=C/COC(=O)[C@@H](C)CC
ZINC000012496591,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)CN)C(=O)O
ZINC000015149389,O=c1ccc2ccc(Oc3cc4ccc(O)cc4oc3=O)cc2o1
ZINC000100080554,CC(C)=CCC[C@@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@]12C(=C[C@H]4C[C@@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)O)C4=O)C3=O
ZINC000030731219,Oc1ccc2c(c1)C=Cc1ccccc1N2
ZINC000002047702,N[C@@H](Cc1co[nH]c1=O)C(=O)O
ZINC000014500213,CCC(=O)/C=C/C=C/C=C/[C@H](O)CCCCCCCC(=O)O
ZINC000006547929,Nc1cc(C[C@H](N)C(=O)O)c(O)cc1O
ZINC000100778222,C[C@@H]1CC[C@H]([C@@H](C)C(=O)O)[C@H]1C(=O)O
ZINC000050027205,N[C@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
ZINC000031291735,CCCO[C@@H]1[C@@H](O)[C@@H](OCC)O[C@@H]1[C@@H](COCc1ccc(Cl)cc1)OCc1ccc(Cl)cc1
ZINC000015113209,COc1ccc(C[C@H](C)O)c(O)c1
ZINC000103219890,Cc1cc(C)cc(NC(P(=O)(O)O)P(=O)(O)O)c1
ZINC000003828539,O=C(O)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)CCC2CCNCC2)C1)c1cccnc1
ZINC000004213067,COc1ccc(C(=O)c2c(C)n(CC(=O)O)c3cc(OC)ccc23)cc1
ZINC000230081386,C[C@H]1CCCC2=CC[C@@H]3[C@@H](C3(C)C)[C@@]21C
ZINC000000596748,COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12
ZINC000050026842,C[C@H](O)[C@@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)O
ZINC000095620543,Cc1ccc(Cc2cc[nH]c2)o1
ZINC000100830726,CC1(C)O[C@@]2(C)CC[C@H]1C[C@@H]2O
ZINC000014719978,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1[C@H](O)CCC2(C)C
ZINC000013549381,C[C@H](CC(=O)C(=O)O)C(=O)O
ZINC000006361320,N[C@H](CCC(=O)NC1(O)CC1)C(=O)O
ZINC000008551918,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)OC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)[C@@H](O)[C@H]1O
ZINC000005426890,C=C[C@@]1(C)CCC(=O)C[C@H]1C(=C)C
ZINC000014721627,CC12[C@H]3CC(C[C@H]31)[C@@]2(C)C(=O)O
ZINC000020389897,Cc1cccc2cc(C=O)oc12
ZINC000000899804,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1
ZINC000034349841,N[C@H](CC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O
ZINC000026660333,O=C1NCNC1(c1ccccc1)c1ccccc1
ZINC000014616984,CCCC/C=C/CCc1ccc(O)cc1
ZINC000100775663,C=C[C@H](O)C#CC#CC[C@H](O)[C@@H](O)CCCCCCC
ZINC000230071136,O=C(O)C1=C[C@H](O)[C@H](O)[C@@H](C(=O)O)O1
ZINC000033980259,N[C@H](Cc1c[nH]cn1)C(=O)N[C@H](CCC(=O)O)C(=O)O
ZINC000103200603,CC(=O)[C@@H]1CO[C@@H](O)[C@@H]1C
ZINC000040017478,O=C1CN2CCO[C@@]2(c2ccccc2F)c2cc(Br)ccc2N1
ZINC000032175836,C[C@@H]1CCC(=O)S1
